trip_id,start_lat,start_lon,end_lat,end_lon,straight_m,path_m,path_over_straight,n_points,start_ts,end_ts,duration_s,anomaly_score,is_anomalous,start_cluster
-9221304899272910788,51.0829583,71.4223554,51.0949961,71.4162713,1404.3725438701558,130020.76007276378,92.5828126164115,209,,,,91.5828126164115,True,0
-9217374206810770265,51.0889499,71.4024592,51.0821034,71.4000536,779.6182944615865,34348.87704777872,44.05858263177425,53,,,,43.05858263177425,True,0
-9214548556609186054,51.0794236,71.4219152,51.0795122,71.4213138,43.15186277739817,6712.410105094037,155.55319453346573,30,,,,154.55319453346573,True,0
-9214033164510198912,51.0985433,71.4057889,51.0976468,71.4125806,484.62234622739624,52108.57928030714,107.52409517628097,94,,,,106.52409517628097,True,0
-9212938812549517684,51.0977033,71.4119383,51.0944483,71.4240333,918.904010558174,211223.3263243847,229.86440792230337,287,,,,228.86440792230337,True,0
-9210829366468064350,51.0897132,71.4355302,51.0876475,71.4341773,248.37176470077904,212892.86577650084,857.1540570764124,295,,,,856.1540570764124,True,0
-9207744341078435299,51.1002425,71.4286324,51.1001874,71.4285936,6.699119282550685,194.22306317314167,28.99232794362058,13,,,,27.99232794362058,True,0
-9205038526221579984,51.10004,71.41216,51.0969,71.40532,591.6379172856396,87413.88296878833,147.7489532277313,136,,,,146.7489532277313,True,0
-9204778906542759741,51.09874,71.40396,51.09906,71.40372,39.33141179610715,37218.92276534248,946.2900278862161,103,,,,945.2900278862161,True,0
-9202172489717137435,51.0909402,71.425382,51.0897621,71.424873,135.73651899952648,2872.858887157235,21.164966571503555,16,,,,20.164966571503555,True,0
-9201388571132764507,51.0804563,71.4138549,51.0992453,71.4120583,2093.006102503877,253338.26353648107,121.04038456142618,333,,,,120.04038456142618,True,0
-9200688590849868007,51.08796,71.42412,51.0766,71.42026,1291.6312729573854,191923.6656863614,148.59013536186927,481,,,,147.59013536186927,True,0
-9200393735604840411,51.09706,71.41667,51.10021,71.4286,903.6931043222032,183714.6201109837,203.29315254516095,334,,,,202.29315254516095,True,0
-9198754092502554769,51.09633,71.40459,51.09633,71.40459,0.0,0.0,,2,,,,0.0,True,0
-9198438140148819555,51.09161,71.42553,51.09519,71.42592,399.0084865176263,59396.404126235575,148.86000206316845,180,,,,147.86000206316845,True,0
-9188776861367414071,51.0939634,71.4041826,51.1008485,71.406693,785.4018046073527,8262.805343468444,10.520481739406346,25,,,,9.520481739406346,True,0
-9185900661715731450,51.0972303,71.4155132,51.0832661,71.4003369,1880.0200277353833,65247.63515571877,34.70581918976371,112,,,,33.70581918976371,True,0
-9185410353967780790,51.08366,71.42249,51.0917188,71.4254482,919.609087457432,48319.02556841445,52.543005748245285,64,,,,51.543005748245285,True,0
-9184194414569400743,51.08161,71.39988,51.09609,71.42725,2499.334093708728,57172.64694681684,22.875151861742154,88,,,,21.875151861742154,True,0
-9174809634493203141,51.078585,71.4210146,51.094831,71.4267491,1850.3435977767126,85136.61891240186,46.01124840526813,103,,,,45.01124840526813,True,0
-9169657942830411046,51.0802065,71.4171292,51.0873264,71.4127742,848.1282898629443,271711.85893535614,320.3664612805973,448,,,,319.3664612805973,True,0
